id,name,lat,long,updatedDate,numBikes,numEmptyDocks,installed,locked,installedDate
184,"Portland Place, Marylebone",51.52071513,-0.14521173,2020-10-05 13:19:00,4,30,true,false,2010-07-17 11:58:00
185,"Alderney Street, Pimlico",51.48805753,-0.140741432,2020-10-05 13:19:00,9,5,true,false,2010-07-17 12:16:00
186,"South Wharf Road, Paddington",51.51733558,-0.175810943,2020-10-05 13:19:00,2,13,true,false,2010-07-17 12:18:00
187,"Queen's Gate (South), South Kensington",51.49247977,-0.178433004,2020-10-05 13:19:00,7,18,true,false,2010-07-17 12:22:00
188,"Nutford Place, Marylebone",51.5165179,-0.164393768,2020-10-05 13:19:00,1,17,true,false,2010-07-17 15:26:00
189,"Claremont Square, Angel",51.53166681,-0.109914711,2020-10-05 13:19:00,2,15,true,false,2010-07-17 15:33:00
190,"Rampayne Street, Pimlico",51.48997562,-0.132845681,2020-10-05 13:19:00,1,19,true,false,2010-07-17 16:38:00
191,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,2020-10-05 13:19:00,8,25,true,false,2010-07-17 17:12:00
192,"Wardour Street, Soho",51.51251523,-0.133201961,2020-10-05 13:19:00,16,0,true,false,2010-07-17 17:15:00
193,"Bankside Mix, Bankside",51.50581776,-0.100186337,2020-10-05 13:19:00,25,35,true,false,2010-07-17 19:47:59
194,"Hop Exchange, The Borough",51.50462759,-0.091773776,2020-10-05 13:19:00,39,16,true,false,2010-07-17 19:47:59
195,"Milroy Walk, South Bank",51.50724437,-0.106237501,2020-10-05 13:19:00,13,17,true,false,2010-07-17 19:47:59
196,"Union Street, The Borough",51.50368837,-0.098497684,2020-10-05 13:19:00,15,1,true,false,2010-07-17 19:47:59
197,"Stamford Street, South Bank",51.50556905,-0.111606696,2020-10-05 13:19:00,24,1,true,false,2010-07-17 19:47:59
199,"Great Tower Street, Monument",51.51048489,-0.082989638,2020-10-05 13:19:00,15,9,true,false,2010-07-18 09:30:00
200,"LMU Commercial Road, Whitechapel",51.51492456,-0.066078037,2020-10-05 13:19:00,7,7,true,false,2010-07-18 09:32:00
201,"Dorset Square, Marylebone",51.5225965,-0.161113413,2020-10-05 13:19:00,8,6,true,false,2010-07-18 10:08:00
202,"Leman Street, Aldgate",51.51236389,-0.06954201,2020-10-05 13:19:00,4,32,true,false,2010-07-18 10:12:00
203,"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,2020-10-05 13:19:00,6,6,true,false,2010-07-18 10:33:00
204,"Margery Street, Clerkenwell",51.52659961,-0.112432615,2020-10-05 13:19:00,6,12,true,false,2010-07-18 16:24:00
206,"New Road 1 , Whitechapel",51.518154,-0.062697,2020-10-05 13:19:00,15,20,true,false,2010-07-18 17:43:00
207,"Grosvenor Crescent, Belgravia",51.50135267,-0.153194766,2020-10-05 13:19:00,6,12,true,false,2010-07-19 17:49:00
208,"Mallory Street, Marylebone",51.52505151,-0.166304359,2020-10-05 13:19:00,7,12,true,false,2010-07-18 18:03:00
209,"Denyer Street, Knightsbridge",51.49358391,-0.165101392,2020-10-05 13:19:00,1,29,true,false,2010-07-19 09:46:00
210,"Hinde Street, Marylebone",51.51681444,-0.151926305,2020-10-05 13:19:00,9,8,true,false,2010-07-19 11:26:00
211,"Cadogan Place, Knightsbridge",51.49464523,-0.158105512,2020-10-05 13:19:00,18,16,true,false,2010-07-19 11:37:00
213,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,2020-10-05 13:19:00,12,20,true,false,2010-07-19 11:57:00
